=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 10] STT 43 | Ma: G1BHXY001  | Ten: Bài tập Giáo dục kinh tế và pháp luật 10 (KNTT)         | Gia:   14,000 Ä‘ | SL:  4 | ThanhTien:     56,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 44 | Ma: G1HHXI001  | Ten: Tin học 10  (KNTT)                                      | Gia:   20,500 Ä‘ | SL:  4 | ThanhTien:     82,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 47 | Ma: G1BHXI001  | Ten: Bài tập Tin học 10 (KNTT)                               | Gia:   20,000 Ä‘ | SL:  4 | ThanhTien:     80,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 11] STT  1 | Ma: G1HHYV001  | Ten: Ngữ văn 11, tập một (KNTT)                              | Gia:   19,800 Ä‘ | SL:  1 | ThanhTien:     19,800 Ä‘ | Ghi chu: Khối A (1 HS: Đinh Lê Bảo Sơn)
[Lá»›p 11] STT  2 | Ma: G1BHYV001  | Ten: Bài tập Ngữ văn 11- tập một (KNTT)                      | Gia:   13,000 Ä‘ | SL:  1 | ThanhTien:     13,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  3 | Ma: G1HHYV002  | Ten: Ngữ văn 11, tập hai (KNTT)                              | Gia:   16,100 Ä‘ | SL:  1 | ThanhTien:     16,100 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  4 | Ma: G1BHYV002  | Ten: Bài tập Ngữ văn 11 - tập hai (KNTT)                     | Gia:   13,000 Ä‘ | SL:  1 | ThanhTien:     13,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  6 | Ma: G1HHYT001  | Ten: Toán 11 tập một  (KNTT)                                 | Gia:   16,200 Ä‘ | SL:  1 | ThanhTien:     16,200 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  7 | Ma: G1BHYT001  | Ten: Bài tập Toán 11 - tập một (KNTT)                        | Gia:   22,000 Ä‘ | SL:  1 | ThanhTien:     22,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  8 | Ma: G1HHYT002  | Ten: Toán 11 tập hai (KNTT)                                  | Gia:   13,900 Ä‘ | SL:  1 | ThanhTien:     13,900 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT  9 | Ma: G1BHYT002  | Ten: Bài tập Toán 11 - tập hai (KNTT)                        | Gia:   18,000 Ä‘ | SL:  1 | ThanhTien:     18,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 10 | Ma: G1HHYT003  | Ten: Chuyên đề học tập - Toán 11 (KNTT)                      | Gia:    9,900 Ä‘ | SL:  1 | ThanhTien:      9,900 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 18 | Ma: G1HHYQ001  | Ten: Hoạt động trải nghiệm, Hướng nghiệp 11  (KNTT)          | Gia:    9,000 Ä‘ | SL:  1 | ThanhTien:      9,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 19 | Ma: HG1BHYQ001 | Ten: Bài tập hoạt động trải nghiệm, hướng nghiệp 11(KNTT)    | Gia:   12,000 Ä‘ | SL:  1 | ThanhTien:     12,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 20 | Ma: G3HHYP001  | Ten: Giáo dục quốc phòng và an ninh 11 (KNTT)                | Gia:    9,500 Ä‘ | SL:  1 | ThanhTien:      9,500 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 21 | Ma: G3BHYP001  | Ten: Giáo dục quốc phòng và an ninh 11- Sách bài tập (KNTT)  | Gia:   12,000 Ä‘ | SL:  1 | ThanhTien:     12,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 22 | Ma: G3HHYA001  | Ten: Tiếng Anh 11 – Sách học sinh  - Global Success          | Gia:   32,500 Ä‘ | SL:  1 | ThanhTien:     32,500 Ä‘ | Ghi chu: Khối A (1 HS)
